Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Comments,Location
WW538,01/12/2014,12:30,Grab,Water,0.2,"Ethylene Glycol, water, unfiltered, recoverable - 91075",0.5,mg/l,U,1,mg/l,1,mg/l,URIWW,,Actual ethylene glycol value is <0.5. ,Buckeye Brook @ Lakeshore Dr (culvert)
WW538,01/12/2014,12:30,Grab,Water,0.2,"Propylene Glycol, water, unfiltered, recoverable - 91080",1,mg/l,U,2,mg/l,2,mg/l,URIWW,,Actual ethylene glycol value is <0.5. ,Buckeye Brook @ Lakeshore Dr (culvert)
WW538,01/12/2014,12:30,Grab,Water,0.2,"Solids, Total Dissolved (Electrical Conductivity) - 47004",167,mg/l,,10,mg/l,10,mg/l,URIWW,C-006-1: Total Dissolved Solids in Water,,Buckeye Brook @ Lakeshore Dr (culvert)
WW538,01/12/2014,12:30,Grab,Water,0.2,Temperature - 00011,6.5,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,Buckeye Brook @ Lakeshore Dr (culvert)
WW538,01/12/2014,12:30,Grab,Air,,Temperature - 00011,8,C,,-35,C,-35,C,URIWW,170.1: Temperature,,Buckeye Brook @ Lakeshore Dr (culvert)
WW218,01/22/2014,14:10,Grab,Water,0.2,Dissolved Oxygen - 00300,,mg/l,N,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,Storm event - D.O. not run,Buckeye Brook @ Novelty Rd
WW218,01/22/2014,14:10,Grab,Water,0.2,"Ethylene Glycol, water, unfiltered, recoverable - 91075",0,mg/l,U,1,mg/l,1,mg/l,URIWW,,Storm testing; Code 4,Buckeye Brook @ Novelty Rd
WW218,01/22/2014,14:10,Grab,Water,0.2,"Propylene Glycol, water, unfiltered, recoverable - 91080",0,mg/l,U,2,mg/l,2,mg/l,URIWW,,Storm testing; Code 4,Buckeye Brook @ Novelty Rd
WW218,01/22/2014,14:10,Grab,Water,0.2,"Solids, Total Dissolved (Electrical Conductivity) - 47004",683,mg/l,,10,mg/l,10,mg/l,URIWW,C-006-1: Total Dissolved Solids in Water,,Buckeye Brook @ Novelty Rd
WW218,01/22/2014,14:10,Grab,Water,0.2,Temperature - 00011,-0.5,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,Buckeye Brook @ Novelty Rd
WW218,01/22/2014,14:10,Grab,Air,,Temperature - 00011,-6.8,C,,-35,C,-35,C,URIWW,170.1: Temperature,,Buckeye Brook @ Novelty Rd
WW221,01/22/2014,13:30,Grab,Water,0.4,Dissolved Oxygen - 00300,,mg/l,N,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,Storm event - D.O. not run,Buckeye Brook @ Mill Cove
WW221,01/22/2014,13:30,Grab,Water,0.4,"Ethylene Glycol, water, unfiltered, recoverable - 91075",0,mg/l,U,1,mg/l,1,mg/l,URIWW,,Storm Event. ,Buckeye Brook @ Mill Cove
